adverse_event,report_count
CYST REMOVAL,36
SLEEP-RELATED EATING DISORDER,36
SENSITISATION,36
ANAL INFLAMMATION,36
FEBRILE NONHAEMOLYTIC TRANSFUSION REACTION,36
ADULT FAILURE TO THRIVE,36
EXTRADURAL ABSCESS,36
AIR EMBOLISM,36
CITROBACTER INFECTION,36
ECZEMA INFECTED,36
VASCULAR ACCESS SITE HAEMORRHAGE,36
MIGRAINE WITHOUT AURA,36
HYDROTHORAX,36
TUMOUR ASSOCIATED FEVER,36
RENAL APLASIA,36
GALLBLADDER CANCER,36
BLOOD CHOLESTEROL,36
CRYSTAL DEPOSIT INTESTINE,36
ENTEROCOLITIS INFECTIOUS,36
ADMINISTRATION SITE REACTION,36
SPINA BIFIDA,36
GASTROINTESTINAL PROCEDURAL COMPLICATION,36
HYPERLIPASAEMIA,36
EOSINOPHILIC COLITIS,36
TUMOUR HYPERPROGRESSION,36
MOTOR NEURONE DISEASE,36
BIOPSY BONE MARROW,36
DRUG DETOXIFICATION,36
CONGENITAL CYSTIC KIDNEY DISEASE,36
ALTERNARIA INFECTION,36
INVASIVE LOBULAR BREAST CARCINOMA,36
RADIATION SKIN INJURY,36
BACTERIURIA,36
ALLERGY TO ARTHROPOD STING,36
HEMIPARAESTHESIA,36
CATHETER SITE CELLULITIS,36
BLOOD LACTATE DEHYDROGENASE ABNORMAL,36
FOETAL HYPOKINESIA,36
BACTERIAL TRANSLOCATION,36
ORAL MUCOSAL DISCOLOURATION,36
CELLULITE,36
GRAFT VERSUS HOST DISEASE IN EYE,36
PARKINSONISM HYPERPYREXIA SYNDROME,36
PAROTID GLAND ENLARGEMENT,36
LIPOATROPHY,36
PERSISTENT DEPRESSIVE DISORDER,36
VAGINAL DISORDER,36
MICROALBUMINURIA,36
CATHETER SITE IRRITATION,36
NON-HODGKIN^S LYMPHOMA RECURRENT,35
GREATER TROCHANTERIC PAIN SYNDROME,35
METASTASES TO PANCREAS,35
FEMALE REPRODUCTIVE TRACT DISORDER,35
LIP EROSION,35
HYPERCALCAEMIA OF MALIGNANCY,35
STEATOHEPATITIS,35
PEPTIC ULCER PERFORATION,35
GASTRIC HYPOMOTILITY,35
IMMUNOGLOBULINS ABNORMAL,35
PARANASAL SINUS HYPOSECRETION,35
STOMA OBSTRUCTION,35
FACTOR V LEIDEN MUTATION,35
ADULTERATED PRODUCT,35
VERTEBRAL OSTEOPHYTE,35
SPORTS INJURY,35
SMEAR CERVIX ABNORMAL,35
MIXED CONNECTIVE TISSUE DISEASE,35
MENINGITIS LISTERIA,35
BONE OPERATION,35
SCROTAL ABSCESS,35
MUSCLE HYPERTROPHY,35
ARTERITIS,35
OROPHARYNGEAL BLISTERING,35
EPIDERMOLYSIS,35
ACUTE LUNG INJURY,35
RIGHT VENTRICULAR ENLARGEMENT,35
PLEURAL FIBROSIS,35
CHRONIC MYELOMONOCYTIC LEUKAEMIA,35
VICTIM OF CHILD ABUSE,35
ADRENAL NEOPLASM,35
URETHRAL HAEMORRHAGE,35
ENDOMETRIAL HYPERPLASIA,35
INFUSION SITE PAPULE,35
FOETAL DISORDER,35
URETHRAL PAIN,35
LARGE FOR DATES BABY,35
DEVICE CHEMICAL PROPERTY ISSUE,35
DEVICE COLOUR ISSUE,35
TUMOUR MARKER ABNORMAL,35
PROCTECTOMY,35
GASTROINTESTINAL TRACT MUCOSAL PIGMENTATION,35
FOETAL HEART RATE ABNORMAL,35
GASTROINTESTINAL FUNGAL INFECTION,35
BLINDNESS CORTICAL,35
PULMONARY VALVE STENOSIS,35
RETINAL EXUDATES,35
SEPTIC PULMONARY EMBOLISM,35
ENDOTRACHEAL INTUBATION COMPLICATION,35
ACCOMMODATION DISORDER,35
HEPATECTOMY,35
LARGE GRANULAR LYMPHOCYTOSIS,35
COATING IN MOUTH,35
GLOBULINS DECREASED,35
ALLERGY TO IMMUNOGLOBULIN THERAPY,35
IMMUNOGLOBULINS INCREASED,35
CANCER FATIGUE,35
PLACENTAL INSUFFICIENCY,35
PARVOVIRUS INFECTION,35
SPLENIC ABSCESS,35
TUMOUR THROMBOSIS,35
GRAFT VERSUS HOST DISEASE IN LUNG,35
HAEMORRHAGIC OVARIAN CYST,34
INJECTION SITE HYPERTROPHY,34
COLORECTAL ADENOCARCINOMA,34
LEGIONELLA INFECTION,34
LICHENIFICATION,34
SPINAL CORD ABSCESS,34
POSTURAL TREMOR,34
HYPERADRENOCORTICISM,34
SEMEN DISCOLOURATION,34
SARS-COV-2 ANTIBODY TEST NEGATIVE,34
CANCER IN REMISSION,34
FOCAL NODULAR HYPERPLASIA,34
VIRAL LOAD ABNORMAL,34
BLOOD CORTICOTROPHIN INCREASED,34
CORONAVIRUS PNEUMONIA,34
OXYGEN SATURATION INCREASED,34
INJECTION SITE EXFOLIATION,34
ABSCESS JAW,34
PELVIC NEOPLASM,34
PULMONARY BLASTOMYCOSIS,34
LARYNGEAL PAIN,34
PROCEDURAL DIZZINESS,34
PLASMAPHERESIS,34
HEMIANOPIA HOMONYMOUS,34
IDIOPATHIC PNEUMONIA SYNDROME,34
SUPERFICIAL SIDEROSIS OF CENTRAL NERVOUS SYSTEM,34
CENTRAL PAIN SYNDROME,34
INTRAOCULAR LENS IMPLANT,34
CEREBRAL HYPOPERFUSION,34
MULTIPLE CONGENITAL ABNORMALITIES,34
ACUTE ON CHRONIC LIVER FAILURE,34
VENOUS THROMBOSIS LIMB,34
INTRAVASCULAR HAEMOLYSIS,34
DYSPLASTIC NAEVUS,34
PRODUCT IMPURITY,34
VITREAL CELLS,34
IATROGENIC INJURY,34
NEUROPROSTHESIS IMPLANTATION,34
EPSTEIN-BARR VIRUS TEST POSITIVE,34
VOGT-KOYANAGI-HARADA DISEASE,34
PANCREATIC OPERATION,34
CARDIAC FAILURE HIGH OUTPUT,34
MERYCISM,34
HUMORAL IMMUNE DEFECT,34
OCULAR ROSACEA,34
DISSEMINATED HERPES SIMPLEX,34
FASCIITIS,34
ANTIPSYCHOTIC DRUG LEVEL DECREASED,34
BLEEDING VARICOSE VEIN,34
GRANULOMATOUS LYMPHADENITIS,34
PRESBYOPIA,34
ATRIAL ENLARGEMENT,34
ORAL BLOOD BLISTER,34
RIGHT VENTRICULAR HYPERTROPHY,34
DRAIN PLACEMENT,34
TYPHOID FEVER,34
GASTRIC ANTRAL VASCULAR ECTASIA,33
IMMATURE GRANULOCYTE COUNT INCREASED,33
PANCREATIC CARCINOMA STAGE IV,33
CARDIORENAL SYNDROME,33
CHRONIC LEFT VENTRICULAR FAILURE,33
ALKALOSIS,33
INJURY CORNEAL,33
XERODERMA,33
PROSTATIC ABSCESS,33
TEETHING,33
HAEMATOMA INFECTION,33
LIMB CRUSHING INJURY,33
NAIL RIDGING,33
OCULAR VASCULAR DISORDER,33
URINARY TRACT INFECTION PSEUDOMONAL,33
DEVICE AUDIO ISSUE,33
GASTROINTESTINAL NEUROENDOCRINE TUMOUR,33
CORTISOL ABNORMAL,33
ABSCESS RUPTURE,33
ANTICONVULSANT DRUG LEVEL INCREASED,33
GASTRIC VARICES,33
PTERYGIUM,33
VULVOVAGINAL INFLAMMATION,33
DISTAL INTESTINAL OBSTRUCTION SYNDROME,33
DISSEMINATED NOCARDIOSIS,33
POST PROCEDURAL CONTUSION,33
SCIATIC NERVE NEUROPATHY,33
TRACHEO-OESOPHAGEAL FISTULA,33
ENANTHEMA,33
ESCHERICHIA PYELONEPHRITIS,33
GASTROINTESTINAL LYMPHOMA,33
BRIEF RESOLVED UNEXPLAINED EVENT,33
WOUND INFECTION PSEUDOMONAS,33
CARDIOMYOPATHY ACUTE,33
CONTRAINDICATED DEVICE USED,33
RED BLOOD CELLS URINE POSITIVE,33
PULMONARY ARTERY DILATATION,33
ALLERGY TO ARTHROPOD BITE,33
STOMA SITE OEDEMA,33
SCROTAL PAIN,33
HEPATITIS B CORE ANTIBODY POSITIVE,33
HERPES ZOSTER OTICUS,33
ALLERGIC OEDEMA,33
SYNOVIAL DISORDER,33
TRAUMATIC SUBARACHNOID HAEMORRHAGE,33
PARANASAL CYST,33
TRANSITIONAL CELL CARCINOMA METASTATIC,33
BONE CYST,33
NUCHAL RIGIDITY,33
PIGMENTARY MACULOPATHY,33
BODY TEMPERATURE,33
MANUFACTURING ISSUE,33
PITYRIASIS RUBRA PILARIS,33
ASPIRATION PLEURAL CAVITY,33
EXTRAPULMONARY TUBERCULOSIS,33
AORTIC DISORDER,33
MESENTERIC PANNICULITIS,33
BRONCHOSTENOSIS,33
INCISION SITE SWELLING,33
CARDIAC INFECTION,33
EYELID INJURY,33
BONE TUBERCULOSIS,33
DEPENDENCE ON RESPIRATOR,33
HORMONE RECEPTOR POSITIVE BREAST CANCER,33
BURNING MOUTH SYNDROME,33
TONSIL CANCER,33
NEPHROSTOMY,33
IMMOBILISATION SYNDROME,33
TRICHOSPORON INFECTION,33
GROWTH DISORDER,33
CARDIAC SEPTAL HYPERTROPHY,33
WOUND SEPSIS,32
AORTIC VALVE SCLEROSIS,32
MYELOID LEUKAEMIA,32
FUNGAL ENDOCARDITIS,32
SENSORY OVERLOAD,32
CONNECTIVE TISSUE DISEASE-ASSOCIATED INTERSTITIAL LUNG DISEASE,32
BURN ORAL CAVITY,32
NEONATAL ASPHYXIA,32
HUNTINGTON^S DISEASE,32
CONSCIOUSNESS FLUCTUATING,32
SOFT TISSUE INFLAMMATION,32
RECTAL FISSURE,32
MONONEUROPATHY MULTIPLEX,32
DISSEMINATED MYCOBACTERIUM AVIUM COMPLEX INFECTION,32
MENINGITIS TUBERCULOUS,32
LIGAMENT OPERATION,32
BASOPHIL COUNT DECREASED,32
OPTIC DISC OEDEMA,32
LOWER URINARY TRACT SYMPTOMS,32
ASPERGILLOMA,32
CYTOKINE INCREASED,32
FEELING GUILTY,32
GUTTATE PSORIASIS,32
NEUTROPHIL PERCENTAGE DECREASED,32
HYPERMOBILITY SYNDROME,32
DONOR SPECIFIC ANTIBODY PRESENT,32
SPUTUM ABNORMAL,32
THERAPEUTIC PRODUCT EFFECTIVE FOR UNAPPROVED INDICATION,32
OBSESSIVE-COMPULSIVE SYMPTOM,32
LUNG DIFFUSION DISORDER,32
MUCOSAL DISCOLOURATION,32
HOUSEBOUND,32
RUPTURED ECTOPIC PREGNANCY,32
BLADDER MASS,32
ERYTHEMA ANNULARE,32
SPINAL NERVE STIMULATOR IMPLANTATION,32
OEDEMA MUCOSAL,32
MOOD DISORDER DUE TO A GENERAL MEDICAL CONDITION,32
PULMONARY CALCIFICATION,32
ANAEMIA POSTOPERATIVE,32
WARM AUTOIMMUNE HAEMOLYTIC ANAEMIA,32
JOINT DEFORMITY,32
BLOOD HOMOCYSTEINE INCREASED,32
BONE CANCER METASTATIC,32
SCAN MYOCARDIAL PERFUSION ABNORMAL,32
HEPATITIS B SURFACE ANTIBODY POSITIVE,32
ENTEROBACTER BACTERAEMIA,32
B-CELL SMALL LYMPHOCYTIC LYMPHOMA,32
COLON CANCER STAGE IV,32
DRUG-GENETIC INTERACTION,32
ERYTHROMELALGIA,32
AMMONIA ABNORMAL,32
ORGANIC ERECTILE DYSFUNCTION,32
COOMBS POSITIVE HAEMOLYTIC ANAEMIA,32
RED CELL DISTRIBUTION WIDTH DECREASED,32
BENIGN NEOPLASM OF THYROID GLAND,32
LYMPH NODE TUBERCULOSIS,32
ELECTROCARDIOGRAM REPOLARISATION ABNORMALITY,32
PHYSIOTHERAPY,32
LIVER CARCINOMA RUPTURED,32
COLOSTOMY CLOSURE,32
PINEAL GLAND CYST,31
NEWBORN PERSISTENT PULMONARY HYPERTENSION,31
ALTERED VISUAL DEPTH PERCEPTION,31
ANTICONVULSANT DRUG LEVEL DECREASED,31
CATHETER SITE INFLAMMATION,31
ASPERGILLUS TEST POSITIVE,31
SYNDACTYLY,31
TONSILLAR INFLAMMATION,31
MENTAL DISORDER DUE TO A GENERAL MEDICAL CONDITION,31
VERTEBROPLASTY,31
SALIVARY GLAND ENLARGEMENT,31
LYMPH GLAND INFECTION,31
CERVICOGENIC HEADACHE,31
NEONATAL INFECTION,31
MENISCUS OPERATION,31
STOMA SITE IRRITATION,31
LUNG PERFORATION,31
SCAR PAIN,31
OPHTHALMIC VASCULAR THROMBOSIS,31
PHARYNGEAL MASS,31
BRAIN STEM INFARCTION,31
STOMA SITE ULCER,31
CEREBRAL ARTERY THROMBOSIS,31
EXPOSED BONE IN JAW,31
PUNCTURE SITE PAIN,31
CELLULITIS STAPHYLOCOCCAL,31
LUNG CYST,31
TIME PERCEPTION ALTERED,31
CONGENITAL HYDRONEPHROSIS,31
PERINEAL ABSCESS,31
FAMILIAL PERIODIC PARALYSIS,31
URETHRAL STENOSIS,31
PROSTATIC SPECIFIC ANTIGEN DECREASED,31
FOETAL HEART RATE DISORDER,31
SEXUAL LIFE IMPAIRMENT,31
GRUNTING,31
PERIORBITAL CELLULITIS,31
PENICILLIUM INFECTION,31
METASTATIC SQUAMOUS CELL CARCINOMA,31
VASCULAR ACCESS SITE EXTRAVASATION,31
SEXUALLY INAPPROPRIATE BEHAVIOUR,31
PROTHROMBIN TIME ABNORMAL,31
ACETABULUM FRACTURE,31
UHTHOFF^S PHENOMENON,31
ANOREXIA NERVOSA,31
EASTERN COOPERATIVE ONCOLOGY GROUP PERFORMANCE STATUS ABNORMAL,31
GRANULOCYTE COUNT INCREASED,31
MUSCULAR DYSTROPHY,31
HERPES SIMPLEX OESOPHAGITIS,31
INTRACRANIAL HYPOTENSION,31
RESPIRATORY TRACT INFECTION BACTERIAL,31
ACUTE MACULAR NEURORETINOPATHY,31
FLASHBACK,31
ELECTRIC SHOCK,31
ALCOHOL USE DISORDER,31
FIBROUS HISTIOCYTOMA,31
EJACULATION DELAYED,31
PNEUMONITIS CHEMICAL,31
EJECTION FRACTION,31
PARATHYROIDECTOMY,31
INTRA-OCULAR INJECTION COMPLICATION,31
SINUS RHYTHM,31
DELIVERY,31
DYSANIA,31
PRODUCT DOSAGE FORM ISSUE,31
OPEN FRACTURE,31
"HALLUCINATION, OLFACTORY",31
BROW PTOSIS,31
ANTEROGRADE AMNESIA,31
ARTERIOVENOUS FISTULA,31
VULVOVAGINAL RASH,31
SKIN TEMPERATURE INCREASED,31
ALLERGY TO VACCINE,31
NAIL TOXICITY,31
INTESTINAL SEPSIS,31
INVASIVE BREAST CARCINOMA,30
INFLUENZA VIRUS TEST POSITIVE,30
BUNDLE BRANCH BLOCK,30
CIRRHOSIS ALCOHOLIC,30
HEART VALVE OPERATION,30
VITAMIN D ABNORMAL,30
JOINT SURGERY,30
RESPIRATORY TRACT HAEMORRHAGE,30
ANTIPHOSPHOLIPID ANTIBODIES POSITIVE,30
POST-INJECTION DELIRIUM SEDATION SYNDROME,30
ECZEMA INFANTILE,30
RESPIRATORY MUSCLE WEAKNESS,30
OCULAR NEOPLASM,30
NEUROSIS,30
UTERINE RUPTURE,30
ACOUSTIC NEUROMA,30
ANASTOMOTIC STENOSIS,30
GASTRIC MUCOSA ERYTHEMA,30
LYMPHATIC FISTULA,30
WEANING FAILURE,30
CHANTER SYNDROME,30
MALE ORGASMIC DISORDER,30
GENOTYPE DRUG RESISTANCE TEST POSITIVE,30
ADRENAL ADENOMA,30
MITOCHONDRIAL TOXICITY,30
CHRONIC HEPATITIS C,30
CRYPTOCOCCAL MENINGOENCEPHALITIS,30
THYROID CYST,30
MYELODYSPLASTIC SYNDROME WITH EXCESS BLASTS,30
JOINT ABSCESS,30
CHLOASMA,30
TINEA CRURIS,30
BONE MARROW INFILTRATION,30
AUTOIMMUNE MYOCARDITIS,30
CHRONIC HEPATITIS B,30
BURSITIS INFECTIVE,30
HAEMORRHOID OPERATION,30
"EAR, NOSE AND THROAT INFECTION",30
FEELINGS OF WORTHLESSNESS,30
MACROGLOSSIA,30
PRURIGO,30
ANAL SPHINCTER ATONY,30
CYTOMEGALOVIRUS ENTERITIS,30
OXYGEN CONSUMPTION DECREASED,30
HISTAMINE LEVEL INCREASED,30
SUPERFICIAL INFLAMMATORY DERMATOSIS,30
VITAMIN B1 DECREASED,30
GLOMERULOSCLEROSIS,30
AMNESTIC DISORDER,30
MELANOMA RECURRENT,30
NEOVASCULARISATION,30
PELVIC INFECTION,30
GINGIVAL ULCERATION,30
RESORPTION BONE INCREASED,30
HERPES SIMPLEX TEST POSITIVE,30
REPRODUCTIVE TRACT DISORDER,30
RENIN INCREASED,30
PHAEOCHROMOCYTOMA CRISIS,30
COLON DYSPLASIA,30
AORTIC VALVE THICKENING,30
ELECTROCARDIOGRAM ST-T SEGMENT ABNORMAL,30
PERIPROSTHETIC FRACTURE,30
ENCEPHALITIS ENTEROVIRAL,30
METASTASES TO OVARY,30
CONGENITAL MUSCULOSKELETAL DISORDER,30
APHANTASIA,30
METASTASES TO KIDNEY,30
CENTRAL NERVOUS SYSTEM FUNGAL INFECTION,30
GASTROINTESTINAL ANASTOMOTIC STENOSIS,30
TOXIC ERYTHEMA OF CHEMOTHERAPY,30
WITHDRAWAL BLEED,30
CATHETER SITE RASH,30
SCROTAL OEDEMA,30
PAPILLOMA,30
GASTROINTESTINAL ANGIODYSPLASIA,30
CRANIOSYNOSTOSIS,30
TRANSFUSION-RELATED ACUTE LUNG INJURY,30
INJECTION SITE LACERATION,30
LEIOMYOMA,30
EAR INFECTION BACTERIAL,29
RETT SYNDROME,29
DOPAMINE DYSREGULATION SYNDROME,29
PSORIASIS AREA SEVERITY INDEX INCREASED,29
TOXIC NEUROPATHY,29
APPLICATION SITE PAPULES,29
VITAMIN C DEFICIENCY,29
POST PROCEDURAL HYPOTHYROIDISM,29
CHROMATOPSIA,29
EYE INFECTION VIRAL,29
CHOLURIA,29
GASTROINTESTINAL MUCOSA HYPERAEMIA,29
APPLICATION SITE PARAESTHESIA,29
IRIS TRANSILLUMINATION DEFECT,29
VARICELLA ZOSTER PNEUMONIA,29
ANDROGENETIC ALOPECIA,29
APALLIC SYNDROME,29
NEUROBLASTOMA RECURRENT,29
NEUROBLASTOMA,29
LYMPHOCELE,29
PREMENSTRUAL DYSPHORIC DISORDER,29
RUPTURED CEREBRAL ANEURYSM,29
ANISOCYTOSIS,29
DRUG DISPENSED TO WRONG PATIENT,29
METASTASES TO SOFT TISSUE,29
DYSDIADOCHOKINESIS,29
ALOPECIA UNIVERSALIS,29
SKIN PRESSURE MARK,29
SALIVARY GLAND CALCULUS,29
FISTULA REPAIR,29
VASCULAR OPERATION,29
GLARE,29
LENTICULAR OPACITIES,29
HYPERPARATHYROIDISM PRIMARY,29
THROAT LESION,29
VASCULITIS NECROTISING,29
TYPE IIA HYPERLIPIDAEMIA,29
EXTENSOR PLANTAR RESPONSE,29
THOUGHT BLOCKING,29
PRIMARY PROGRESSIVE MULTIPLE SCLEROSIS,29
ECHOLALIA,29
RESPIRATORY TRACT INFECTION FUNGAL,29
MICROGRAPHIC SKIN SURGERY,29
GENITAL ATROPHY,29
CEREBRAL ARTERY STENOSIS,29
LACUNAR STROKE,29
PELVIC ORGAN PROLAPSE,29
PHARYNGEAL ABSCESS,29
NASAL SEPTAL OPERATION,29
BONE DEFORMITY,29
PROCEDURAL FAILURE,29
ALBUMIN URINE PRESENT,29
ACNE FULMINANS,29
MICTURITION FREQUENCY DECREASED,29
INFECTIVE EXACERBATION OF BRONCHIECTASIS,29
TWIN PREGNANCY,29
INTENTIONAL PRODUCT MISUSE TO CHILD,29
HIGH FREQUENCY ABLATION,29
SMALL CELL LUNG CANCER METASTATIC,29
LARYNGEAL CANCER,29
NEPHRITIS ALLERGIC,29
BONE METABOLISM DISORDER,29
CORNEAL SCAR,29
CHRONIC DISEASE,29
VASCULAR ACCESS SITE PAIN,29
VAGUS NERVE DISORDER,29
INTRAVENTRICULAR HAEMORRHAGE NEONATAL,29
URINARY TRACT CANDIDIASIS,29
INFUSION SITE NECROSIS,29
PERSONAL RELATIONSHIP ISSUE,28
THYROID STIMULATING IMMUNOGLOBULIN INCREASED,28
FABRY^S DISEASE,28
IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME ASSOCIATED TUBERCULOSIS,28
ACUTE STRESS DISORDER,28
PHAEOCHROMOCYTOMA,28
OVERGROWTH BACTERIAL,28
IODINE ALLERGY,28
MEAN ARTERIAL PRESSURE DECREASED,28
VON WILLEBRAND^S DISEASE,28
DISSEMINATED COCCIDIOIDOMYCOSIS,28
OEDEMA GENITAL,28
EXERCISE LACK OF,28
ESCHAR,28
HERPES SIMPLEX ENCEPHALITIS,28
PARAKERATOSIS,28
OEDEMA MOUTH,28
INTRAOCULAR PRESSURE TEST,28
THROMBOCYTOPENIA NEONATAL,28
SYSTEMIC TOXICITY,28
CATHETER SITE INJURY,28
GENITAL DISCOMFORT,28
FACTOR VIII INHIBITION,28
NAIL BED DISORDER,28
ATOPY,28
VASCULAR COMPRESSION,28
MYOCARDIAL OEDEMA,28
CERVICITIS,28
ANTICHOLINERGIC EFFECT,28
TONGUE PARALYSIS,28
LID SULCUS DEEPENED,28
TUBO-OVARIAN ABSCESS,28
PLACENTAL DISORDER,28
RENAL HAEMATOMA,28
NEONATAL DISORDER,28
SPINAL CORD INFARCTION,28
LANGERHANS^ CELL HISTIOCYTOSIS,28
HAEMANGIOMA OF BONE,28
GLOBULINS INCREASED,28
METASTASES TO BLADDER,28
RECTAL PERFORATION,28
CNS VENTRICULITIS,28
HYPERSPLENISM,28
BONE ABSCESS,28
INJECTION SITE GRANULOMA,28
SOFT TISSUE HAEMORRHAGE,28
CERVIX DISORDER,28
POSTPRANDIAL HYPOGLYCAEMIA,28
VIRAL RASH,28
CIRCUMORAL OEDEMA,28
POSTOPERATIVE ADHESION,28
EYE INFECTION BACTERIAL,28
BACTERIAL COLITIS,28
TRACHEAL DISORDER,28
IMPAIRED REASONING,28
INFESTATION,28
ENDOMETRIAL ABLATION,28
PLEUROPERICARDITIS,28
METASTASES TO HEART,28
BACTERIAL PYELONEPHRITIS,28
THYROXINE FREE DECREASED,28
VASCULITIC RASH,28
FOREIGN BODY INGESTION,28
TETHERED ORAL TISSUE,28
INSULIN-LIKE GROWTH FACTOR DECREASED,28
VITAMIN A DECREASED,28
MYELIN OLIGODENDROCYTE GLYCOPROTEIN ANTIBODY-ASSOCIATED DISEASE,28
IMMUNE-MEDIATED UVEITIS,28
PERINEAL INFECTION,28
FAT NECROSIS,28
GENITAL PARAESTHESIA,28
CHOLESTASIS OF PREGNANCY,28
SUPERIOR VENA CAVA SYNDROME,28
FEAR OF EATING,28
PULMONARY HYPERTENSIVE CRISIS,28
INCISION SITE HAEMORRHAGE,28
INTERVERTEBRAL DISC INJURY,28
HYPOMETABOLISM,28
AEROMONAS INFECTION,28
MITRAL VALVE STENOSIS,28
TRIGGER POINTS,28
EOSINOPHILIC PNEUMONIA CHRONIC,28
HERPES ZOSTER REACTIVATION,28
CHRONIC PIGMENTED PURPURA,28
VITAMIN B6 DEFICIENCY,28
MEDIASTINAL MASS,28
HYPERGAMMAGLOBULINAEMIA,28
PARANEOPLASTIC NEUROLOGICAL SYNDROME,28
SENILE DEMENTIA,28
OPTIC DISC HAEMORRHAGE,28
POLYDIPSIA PSYCHOGENIC,28
MUSCLE MASS,28
VOCAL CORD THICKENING,28
CATARACT OPERATION COMPLICATION,28
REGRESSIVE BEHAVIOUR,27
REVERSIBLE AIRWAYS OBSTRUCTION,27
PYRAMIDAL TRACT SYNDROME,27
EYELID OPERATION,27
PRODUCT MONITORING ERROR,27
IMMUNE-MEDIATED NEUROPATHY,27
RETROPERITONEAL ABSCESS,27
PULMONARY NECROSIS,27
PRIMARY HYPOTHYROIDISM,27
RED BLOOD CELL SEDIMENTATION RATE DECREASED,27
FRIEDREICH^S ATAXIA,27
EYE HAEMATOMA,27
HEPATIC HAEMATOMA,27
RESPIRATORY GAS EXCHANGE DISORDER,27
RETINAL PIGMENT EPITHELIAL TEAR,27
HISTAMINE INTOLERANCE,27
ILEECTOMY,27
PROLONGED LABOUR,27
ORAL CONTUSION,27
STICKY SKIN,27
LOSS OF PROPRIOCEPTION,27
MENTAL DISABILITY,27
CHOLANGITIS INFECTIVE,27
DYSLALIA,27
SUPRAPUBIC PAIN,27
PANCREATIC ABSCESS,27
NEONATAL BEHAVIOURAL SYNDROME,27
CYSTITIS ESCHERICHIA,27
NEONATAL RESPIRATORY DEPRESSION,27
NEONATAL RESPIRATORY FAILURE,27
LEFT VENTRICULAR OUTFLOW TRACT GRADIENT INCREASED,27
PIK3CA-ACTIVATED MUTATION,27
CRANIOTOMY,27
BREAST CELLULITIS,27
SARCOMATOID MESOTHELIOMA,27
LEPROSY,27
OVARIAN DISORDER,27
NODULAR MELANOMA,27
BREAST INFLAMMATION,27
ALVEOLITIS,27
CUTANEOUS SARCOIDOSIS,27
ALLOGENIC STEM CELL TRANSPLANTATION,27
ALLERGY TEST NEGATIVE,27
NON-SMALL CELL LUNG CANCER STAGE IV,27
SCAPULA FRACTURE,27
OSTEOMYELITIS CHRONIC,27
ENLARGED UVULA,27
CHLAMYDIAL INFECTION,27
ARTERY DISSECTION,27
NASAL CAVITY CANCER,27
NASAL ABSCESS,27
BLOOD FOLLICLE STIMULATING HORMONE INCREASED,27
DENTAL CYST,27
JAW CLICKING,27
PNEUMONIA PARAINFLUENZAE VIRAL,27
BLOOD LACTATE DEHYDROGENASE DECREASED,27
TRI-IODOTHYRONINE INCREASED,27
PCO2 INCREASED,27
DELUSIONAL PERCEPTION,27
BLOOD LACTIC ACID ABNORMAL,27
CARTILAGE ATROPHY,27
METASTASES TO SPINAL CORD,27
"SLEEP DISORDER DUE TO GENERAL MEDICAL CONDITION, HYPERSOMNIA TYPE",27
CORNEAL REFLEX DECREASED,27
INVESTIGATION NONCOMPLIANCE,27
TYPE II HYPERSENSITIVITY,27
MUCOUS MEMBRANE PEMPHIGOID,27
DISEASE PROPENSITY,27
MANTLE CELL LYMPHOMA RECURRENT,27
SHUNT OCCLUSION,27
MYELODYSPLASTIC SYNDROME WITH MULTILINEAGE DYSPLASIA,27
SYSTEMIC LUPUS ERYTHEMATOSUS RASH,27
URINARY TRACT INFECTION STAPHYLOCOCCAL,27
INTESTINAL VILLI ATROPHY,27
POST PROCEDURAL PNEUMONIA,27
CHANGE IN SUSTAINED ATTENTION,27
ADNEXAL TORSION,27
SKIN SQUAMOUS CELL CARCINOMA RECURRENT,27
EPSTEIN-BARR VIRUS ANTIBODY POSITIVE,27
OPISTHOTONUS,27
STENOTROPHOMONAS BACTERAEMIA,27
PERIORBITAL ECZEMA,27
ADENOVIRAL HAEMORRHAGIC CYSTITIS,27
EPIPLOIC APPENDAGITIS,27
PLASMA CELL LEUKAEMIA,27
ACETONAEMIA,27
LABORATORY TEST INTERFERENCE,27
BUNION OPERATION,27
COMPLICATIONS OF BONE MARROW TRANSPLANT,27
LIPOHYPERTROPHY,27
ABDOMINAL FAT APRON,27
DEVELOPMENTAL REGRESSION,26
CATHETER SITE MASS,26
URINARY TRACT INFLAMMATION,26
FACIAL WASTING,26
RADIATION ASSOCIATED PAIN,26
RENAL VASCULITIS,26
GENITAL LESION,26
PULPLESS TOOTH,26
REFRACTORY CANCER,26
LACRIMAL DISORDER,26
GENITAL INFECTION,26
STOMA SITE ABSCESS,26
OLIGODIPSIA,26
GLOMERULONEPHRITIS PROLIFERATIVE,26
COOMBS DIRECT TEST POSITIVE,26
WALKING DISTANCE TEST ABNORMAL,26
GLOMERULONEPHRITIS MEMBRANOPROLIFERATIVE,26
BRAIN RADIATION NECROSIS,26
HANGING,26
ACUTE DISSEMINATED ENCEPHALOMYELITIS,26
RESTLESS ARM SYNDROME,26
ILLNESS ANXIETY DISORDER,26
EAR TUBE INSERTION,26
PULMONARY RENAL SYNDROME,26
HERPES SIMPLEX PNEUMONIA,26
KERATITIS FUNGAL,26
ECLAMPSIA,26
