adverse_event,report_count
THERAPEUTIC RESPONSE DECREASED,4515
THERAPEUTIC PRODUCT EFFECT DECREASED,4504
NEOPLASM MALIGNANT,4502
FLUSHING,4445
CARDIAC ARREST,4445
RESPIRATORY FAILURE,4429
INJECTION SITE PRURITUS,4419
BLISTER,4394
PRODUCT PRESCRIBING ISSUE,4380
EPISTAXIS,4337
THROMBOSIS,4324
OCULAR HYPERAEMIA,4297
INCORRECT DOSE ADMINISTERED BY DEVICE,4280
PRODUCTIVE COUGH,4260
PRODUCT QUALITY ISSUE,4250
PULMONARY EMBOLISM,4247
DRUG EFFECTIVE FOR UNAPPROVED INDICATION,4211
RASH PRURITIC,4199
STOMATITIS,4190
DEVICE DEFECTIVE,4142
BLOOD PRESSURE DECREASED,4070
SWELLING FACE,4057
DIABETES MELLITUS,4056
DRUG-INDUCED LIVER INJURY,4006
DYSPHONIA,3995
INFLUENZA LIKE ILLNESS,3963
FLATULENCE,3911
ILL-DEFINED DISORDER,3905
DEPRESSED MOOD,3902
OEDEMA,3896
GAIT INABILITY,3885
PRODUCT AVAILABILITY ISSUE,3827
PANCYTOPENIA,3819
LUNG DISORDER,3789
SKIN BURNING SENSATION,3754
CYTOKINE RELEASE SYNDROME,3736
NEPHROLITHIASIS,3714
BURNING SENSATION,3707
ARTHROPATHY,3696
SUICIDE ATTEMPT,3655
NECK PAIN,3627
COLITIS,3626
INTERSTITIAL LUNG DISEASE,3616
EYE PRURITUS,3604
NEEDLE ISSUE,3600
SLEEP DISORDER DUE TO A GENERAL MEDICAL CONDITION,3600
UPPER RESPIRATORY TRACT INFECTION,3558
DEVICE MECHANICAL ISSUE,3556
HERPES ZOSTER,3543
ACCIDENTAL OVERDOSE,3525
INSURANCE ISSUE,3516
FEELING HOT,3498
BONE PAIN,3469
AGITATION,3451
VERTIGO,3427
SEPTIC SHOCK,3414
PLEURAL EFFUSION,3412
BLOOD CREATININE INCREASED,3395
DRUG DEPENDENCE,3393
BLOOD CHOLESTEROL INCREASED,3391
FREQUENT BOWEL MOVEMENTS,3373
LIVER INJURY,3365
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3340
INTESTINAL OBSTRUCTION,3340
HYPOACUSIS,3339
ALANINE AMINOTRANSFERASE INCREASED,3319
MEDICATION ERROR,3319
LEUKOPENIA,3317
NEUTROPHIL COUNT DECREASED,3314
OSTEOARTHRITIS,3289
DRUG EFFECT LESS THAN EXPECTED,3280
COMPLETED SUICIDE,3233
ACCIDENTAL UNDERDOSE,3191
THROAT IRRITATION,3189
EMOTIONAL DISTRESS,3187
PRODUCT ADHESION ISSUE,3185
COGNITIVE DISORDER,3172
THERAPY CESSATION,3167
LETHARGY,3116
HYPOKALAEMIA,3109
LIVER DISORDER,3103
PRODUCT SUBSTITUTION ISSUE,3093
THERAPY PARTIAL RESPONDER,3092
HYPONATRAEMIA,3089
BLINDNESS,3084
TINNITUS,3067
DISEASE RECURRENCE,3067
AMNESIA,3053
VIRAL INFECTION,3048
MULTIPLE ORGAN DYSFUNCTION SYNDROME,3046
C-REACTIVE PROTEIN INCREASED,3005
PANCREATITIS,3002
INJURY,2962
ACNE,2935
INJECTION SITE MASS,2926
UNEVALUABLE EVENT,2925
TASTE DISORDER,2924
ROAD TRAFFIC ACCIDENT,2890
REBOUND EFFECT,2889
PRODUCT COMPLAINT,2874
IRRITABILITY,2873
SEDATION,2856
ASPARTATE AMINOTRANSFERASE INCREASED,2854
GASTROINTESTINAL HAEMORRHAGE,2851
DYSGEUSIA,2850
WOUND,2845
ANGIOEDEMA,2838
RENAL DISORDER,2815
DYSPNOEA EXERTIONAL,2808
FLUID RETENTION,2789
CELLULITIS,2783
HEPATIC FUNCTION ABNORMAL,2761
NIGHT SWEATS,2752
RASH MACULAR,2737
COMA,2734
PRODUCT DISPENSING ERROR,2729
SPEECH DISORDER,2722
MENTAL DISORDER,2718
SKIN DISCOLOURATION,2676
MULTIPLE SCLEROSIS,2674
CONTRAINDICATED PRODUCT ADMINISTERED,2655
POLLAKIURIA,2649
IMPAIRED HEALING,2646
HEPATIC CYTOLYSIS,2624
LACRIMATION INCREASED,2622
EYE SWELLING,2621
PULMONARY OEDEMA,2612
DELIRIUM,2605
RECTAL HAEMORRHAGE,2598
INJECTION SITE RASH,2590
DEVICE USE ERROR,2582
HYPOXIA,2580
EAR INFECTION,2576
RESPIRATORY TRACT INFECTION,2561
TYPE 2 DIABETES MELLITUS,2530
OSTEOPOROSIS,2509
BRADYCARDIA,2505
PRODUCT PREPARATION ERROR,2497
HYPOGLYCAEMIA,2495
PRODUCT PRESCRIBING ERROR,2494
RECALLED PRODUCT ADMINISTERED,2491
LACTIC ACIDOSIS,2478
IMPAIRED GASTRIC EMPTYING,2473
DEVICE USE ISSUE,2472
PRODUCT USE COMPLAINT,2456
DISTURBANCE IN ATTENTION,2448
CHRONIC KIDNEY DISEASE,2447
DEMENTIA,2438
ELECTROCARDIOGRAM QT PROLONGED,2433
DEEP VEIN THROMBOSIS,2429
HYPOTHYROIDISM,2397
EPILEPSY,2391
MULTIPLE SCLEROSIS RELAPSE,2384
AGGRESSION,2374
PLASMA CELL MYELOMA,2372
SKIN DISORDER,2360
BLOOD GLUCOSE DECREASED,2352
LIMB INJURY,2336
LIVER FUNCTION TEST INCREASED,2332
RHABDOMYOLYSIS,2323
ARRHYTHMIA,2318
PERICARDITIS,2309
SKIN FISSURES,2309
EYE DISORDER,2306
DRUG REACTION WITH EOSINOPHILIA AND SYSTEMIC SYMPTOMS,2305
PRODUCT DISTRIBUTION ISSUE,2294
PNEUMONITIS,2292
URINARY RETENTION,2273
HYPERKALAEMIA,2266
FUNGAL INFECTION,2253
FEEDING DISORDER,2248
DEVICE DISLOCATION,2241
IRRITABLE BOWEL SYNDROME,2228
CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,2228
LYMPHADENOPATHY,2227
METABOLIC ACIDOSIS,2218
THERAPEUTIC RESPONSE UNEXPECTED,2216
WITHDRAWAL SYNDROME,2207
HEAD INJURY,2198
HIP FRACTURE,2193
